+----------------------------------------------------------------+
|   №  |  Token               |   Info                           |
+----------------------------------------------------------------+
|  54    |)                                  |PARENTHESIS                                         
|  54    |{                                  |PARENTHESIS                                         
|  55    |break                              |KEYWORD                                             
|  55    |;                                  |END OF CONSTRUCTION                                 
|  56    |}                                  |PARENTHESIS                                         
|  57    |}                                  |PARENTHESIS                                         
|  59    |if                                 |KEYWORD                                             
|  59    |(                                  |PARENTHESIS                                         
|  59    |j                                  |VARIABLE (INT)                                      
|  59    |==                                 |COMPARISON OPERATOR                                 
|  59    |m                                  |VARIABLE (INT)                                      
|  59    |)                                  |PARENTHESIS                                         
|  59    |{                                  |PARENTHESIS                                         
|  60    |pos                                |VARIABLE (INT)                                      
|  60    |=                                  |ASSIGNMENT OPERATOR                                 
|  60    |i                                  |VARIABLE (INT)                                      
|  60    |;                                  |END OF CONSTRUCTION                                 
|  61    |break                              |KEYWORD                                             
|  61    |;                                  |END OF CONSTRUCTION                                 
|  62    |}                                  |PARENTHESIS                                         
|  63    |}                                  |PARENTHESIS                                         
|  65    |if                                 |KEYWORD                                             
|  65    |(                                  |PARENTHESIS                                         
|  65    |pos                                |VARIABLE (INT)                                      
|  65    |!=                                 |COMPARISON OPERATOR                                 
|  65    |-                                  |ARITHMETIC OPERATOR                                 
|  65    |1                                  |INTEGER                                             
|  65    |)                                  |PARENTHESIS                                         
|  65    |{                                  |PARENTHESIS                                         
|  66    |std                                |NAMESPACE                                           
|  66    |::                                 |DOUBLE COLON                                        
|  66    |cout                               |KEYWORD                                             
|  66    |<<                                 |OPERATOR                                            
|  66    |"Pattern found at position: "            |STRING                                              
|  66    |<<                                 |OPERATOR                                            
|  66    |pos                                |VARIABLE (INT)                                      
|  66    |<<                                 |OPERATOR                                            
|  66    |std                                |NAMESPACE                                           
|  66    |::                                 |DOUBLE COLON                                        
|  66    |endl                               |KEYWORD                                             
|  66    |;                                  |END OF CONSTRUCTION                                 
|  67    |}                                  |PARENTHESIS                                         
|  68    |else                               |KEYWORD                                             
|  68    |{                                  |PARENTHESIS                                         
|  69    |std                                |NAMESPACE                                           
|  69    |::                                 |DOUBLE COLON                                        
|  69    |cout                               |KEYWORD                                             
|  69    |<<                                 |OPERATOR                                            
|  69    |"Pattern not found."               |STRING                                              
|  69    |<<                                 |OPERATOR                                            
|  69    |std                                |NAMESPACE                                           
|  69    |::                                 |DOUBLE COLON                                        
|  69    |endl                               |KEYWORD                                             
|  69    |;                                  |END OF CONSTRUCTION                                 
|  70    |}                                  |PARENTHESIS                                         
|  72    |return                             |KEYWORD                                             
|  72    |0                                  |INTEGER                                             
|  72    |;                                  |END OF CONSTRUCTION                                 
|  73    |}                                  |PARENTHESIS                                         
|  75    |class                              |KEYWORD                                             
|  75    |Rectangle                          |CLASS                                               
|  75    |{                                  |PARENTHESIS                                         
|  76    |private                            |KEYWORD                                             
|  76    |:                                  |COLON                                               
|  77    |int                                |DATA TYPE                                           
|  77    |width                              |VARIABLE (INT)                                      
|  77    |;                                  |END OF CONSTRUCTION                                 
|  78    |int                                |DATA TYPE                                           
|  78    |height                             |VARIABLE (INT)                                      
|  78    |;                                  |END OF CONSTRUCTION                                 
|  80    |public                             |KEYWORD                                             
|  80    |:                                  |COLON                                               
|  81    |Rectangle                          |CONSTUCTURE                                         
|  81    |(                                  |PARENTHESIS                                         
|  81    |int                                |DATA TYPE                                           
|  81    |w                                  |VARIABLE (INT)                                      
